Date,Open,High,Low,Close,Volume
1/29/2024,152.059998,153.779999,151.429993,153.509995,27784300
1/30/2024,152.800003,153.619995,151.190002,151.460007,36331800
1/31/2024,143.619995,144,139.869995,140.100006,71910000
2/1/2024,142.119995,143.059998,140.789993,141.160004,40466500
2/2/2024,139.259995,142.619995,136.5,142.380005,62470600
2/5/2024,142.820007,145.470001,142.779999,143.679993,38505400
2/6/2024,144.649994,145.360001,143.190002,144.100006,29128200
2/7/2024,144.759995,145.619995,143.929993,145.539993,25208900
2/8/2024,145.830002,146.330002,145.100006,145.910004,22563800
2/9/2024,146.679993,149.440002,146.179993,149,26829500
2/12/2024,148.419998,149.339996,147.369995,147.529999,21564100
2/13/2024,144.919998,146.669998,143.690002,145.139999,27837700
2/14/2024,146.080002,146.520004,144.089996,145.940002,22704200
2/15/2024,143.139999,143.520004,140.460007,142.770004,37590700
2/16/2024,142.990005,143.190002,140.139999,140.520004,31451100
2/20/2024,139.660004,142.080002,139.490005,141.119995,25144700
2/21/2024,141.449997,142.690002,140.679993,142.550003,23315700
2/22/2024,144.929993,145,142.800003,144.089996,27191900
2/23/2024,143.669998,144.679993,143.429993,143.960007,19493800
2/26/2024,142.139999,142.440002,137.389999,137.570007,53641800
2/27/2024,138.020004,139.25,137.089996,138.880005,33099200
2/28/2024,137.899994,138.009995,135.410004,136.380005,37328600
2/29/2024,137.279999,138.860001,136.399994,138.460007,42133000
3/1/2024,138.429993,138.869995,136.919998,137.139999,31119500
3/4/2024,135.660004,135.660004,131.910004,133.350006,55999400
3/5/2024,131.880005,133.240005,130.669998,132.669998,40194800
3/6/2024,133.119995,133.580002,130.850006,131.399994,35318600
3/7/2024,132.789993,134.940002,131.610001,134.380005,37738200
3/8/2024,134.210007,138.089996,134,135.410004,39343100
3/11/2024,136.130005,139.100006,136.130005,137.669998,32437800
3/12/2024,137.029999,139.380005,137.029999,138.5,27563400
3/13/2024,139,141.089996,138.990005,139.789993,23347200
3/14/2024,141.190002,143.589996,140.460007,143.100006,42753400
3/15/2024,142.5,143.179993,140.029999,141.179993,49460600
3/18/2024,148.610001,152.149994,147.169998,147.679993,69273700
